_x_bin,_y_bin,Center_Lat,Center_Lon,n_records,Sources,Station_Names,Source_Names,Source_Files
-393742,197588,44.373989399928135,-124.95062986716866,31,bottle,Oregon Offshore Shallow Profiler - 500 m E,Oregon Offshore Shallow Profiler - 500 m E,bottle_data
-393741,197562,44.368150377290696,-124.9503125253851,25,bottle,Oregon Offshore Deep Profiler - 200 m E,Oregon Offshore Deep Profiler - 200 m E,bottle_data
-393741,197589,44.37421397772188,-124.9503125253851,31,bottle,Oregon Offshore Shallow Profiler - 500 m E,Oregon Offshore Shallow Profiler - 500 m E,bottle_data
-393739,208631,46.854001976284586,-124.949677841818,1,CEA,WA_offshore,WA_offshore,manual_CEA_locations
-393735,197546,44.36455713259073,-124.94840847468382,23,bottle,Oregon Offshore Deep Profiler,Oregon Offshore Deep Profiler,bottle_data
-393727,197606,44.378031800215595,-124.94586974041542,1,CEA,OR_offshore,OR_offshore,manual_CEA_locations
-392525,209225,46.98740118577075,-124.5644249165898,1,CEA,WA_shelf,WA_shelf,manual_CEA_locations
-391718,198745,44.63382590729429,-124.30833009726594,3,bottle,Oregon Shelf BEP,Oregon Shelf BEP,bottle_data
-391716,198745,44.63382590729429,-124.30769541369884,3,bottle,Oregon Shelf BEP,Oregon Shelf BEP,bottle_data
-391711,198759,44.636969996406755,-124.3061087047811,2,bottle,Oregon Shelf BEP,Oregon Shelf BEP,bottle_data
-391711,198760,44.6371945742005,-124.3061087047811,12,bottle,Oregon Shelf BEP - 20 m NW,Oregon Shelf BEP - 20 m NW,bottle_data
-391710,198760,44.6371945742005,-124.30579136299755,9,bottle,Oregon Shelf BEP,Oregon Shelf BEP,bottle_data
-391708,198759,44.636969996406755,-124.30515667943045,12,bottle,Oregon Shelf BEP - 70 m NE,Oregon Shelf BEP - 70 m NE,bottle_data
-391702,198752,44.63539795185052,-124.30325262872915,1,CEA,OR_shelf,OR_shelf,manual_CEA_locations
-391595,209877,47.13382590729429,-124.26929705788943,1,CEA,WA_inshore,WA_inshore,manual_CEA_locations
-391050,198860,44.659652353575275,-124.09634578585536,1,CEA,OR_inshore,OR_inshore,manual_CEA_locations
